dataset_id,citation_short,site_code,plot_code,coord_type,NBR_mean,NBR_stdDev,NDMI_mean,NDMI_stdDev,NDVI_mean,NDVI_stdDev,nbr_cv,ndmi_cv,ndvi_cv,snow_fraction,snow_pixel_count,water_fraction,water_pixel_count,wetland_fraction,wetland_pixel_count
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.39,site,2799.322013227636,246.7113028926723,-121.2403020779586,226.85199883404158,6406.0606970308145,254.99907053751878,8.813251984833736,-187.1093975732374,3.9805909215894553,0.0,0,0.0,0,0.9415204678362573,161
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B3,USA.YukonKuskokwimDelta.15B3.41,site,2799.322013227636,246.7113028926723,-121.2403020779586,226.85199883404158,6406.0606970308145,254.99907053751878,8.813251984833736,-187.1093975732374,3.9805909215894553,0.0,0,0.0,0,0.9415204678362573,161
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.43,site,3954.033348946133,889.9968676841147,913.0438407494133,935.4697127594804,6534.99370023418,451.52756854078467,22.508582734167508,102.45616595931037,6.90938031852432,0.0,0,0.0,0,0.28654970760233917,49
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.45,site,3954.033348946133,889.9968676841147,913.0438407494133,935.4697127594804,6534.99370023418,451.52756854078467,22.508582734167508,102.45616595931037,6.90938031852432,0.0,0,0.0,0,0.28654970760233917,49
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.47,site,3954.033348946133,889.9968676841147,913.0438407494133,935.4697127594804,6534.99370023418,451.52756854078467,22.508582734167508,102.45616595931037,6.90938031852432,0.0,0,0.0,0,0.28654970760233917,49
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.15B4,USA.YukonKuskokwimDelta.15B4.49,site,3954.033348946133,889.9968676841147,913.0438407494133,935.4697127594804,6534.99370023418,451.52756854078467,22.508582734167508,102.45616595931037,6.90938031852432,0.0,0,0.0,0,0.28654970760233917,49
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B1,USA.YukonKuskokwimDelta.72B1.25,site,4512.610755561802,294.91981731084206,1354.0558173336137,326.4431349563212,7012.679982183457,318.285913950632,6.535458812780447,24.108543442407573,4.538720072201712,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B1,USA.YukonKuskokwimDelta.72B1.27,site,4512.610755561802,294.91981731084206,1354.0558173336137,326.4431349563212,7012.679982183457,318.285913950632,6.535458812780447,24.108543442407573,4.538720072201712,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.72B1,USA.YukonKuskokwimDelta.72B1.29,site,4512.610755561802,294.91981731084206,1354.0558173336137,326.4431349563212,7012.679982183457,318.285913950632,6.535458812780447,24.108543442407573,4.538720072201712,0.0,0,0.0,0,0.0,0
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB1,USA.YukonKuskokwimDelta.UB1.11,site,5099.042818326625,1577.82107869403,2215.4683078797,1853.9457774824148,7033.437529279501,1345.3660643862772,30.943475764179407,83.68189113283782,19.128144080126567,0.0,0,0.05847953216374269,10,0.2046783625730994,35
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB1,USA.YukonKuskokwimDelta.UB1.7,site,5099.042818326625,1577.82107869403,2215.4683078797,1853.9457774824148,7033.437529279501,1345.3660643862772,30.943475764179407,83.68189113283782,19.128144080126567,0.0,0,0.05847953216374269,10,0.2046783625730994,35
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB1,USA.YukonKuskokwimDelta.UB1.9,site,5099.042818326625,1577.82107869403,2215.4683078797,1853.9457774824148,7033.437529279501,1345.3660643862772,30.943475764179407,83.68189113283782,19.128144080126567,0.0,0,0.05847953216374269,10,0.2046783625730994,35
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB2,USA.YukonKuskokwimDelta.UB2.19,site,5742.763284232217,1879.564893027107,2606.3424744151175,1965.4403896073775,8508.140043558698,485.9828457877947,32.729276830681634,75.4099052177875,5.711975159079807,0.0,0,0.0,0,0.18128654970760233,31
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB2,USA.YukonKuskokwimDelta.UB2.21,site,5742.763284232217,1879.564893027107,2606.3424744151175,1965.4403896073775,8508.140043558698,485.9828457877947,32.729276830681634,75.4099052177875,5.711975159079807,0.0,0,0.0,0,0.18128654970760233,31
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB2,USA.YukonKuskokwimDelta.UB2.23,site,5742.763284232217,1879.564893027107,2606.3424744151175,1965.4403896073775,8508.140043558698,485.9828457877947,32.729276830681634,75.4099052177875,5.711975159079807,0.0,0,0.0,0,0.18128654970760233,31
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB3,USA.YukonKuskokwimDelta.UB3.31,site,3719.9727112882388,351.6012680040433,781.4452467471564,336.20741339230545,5917.63153205954,392.71134313955025,9.451716324077083,43.02379658610789,6.636292594629885,0.0,0,0.0,0,0.043209876543209874,7
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB3,USA.YukonKuskokwimDelta.UB3.33,site,3719.9727112882388,351.6012680040433,781.4452467471564,336.20741339230545,5917.63153205954,392.71134313955025,9.451716324077083,43.02379658610789,6.636292594629885,0.0,0,0.0,0,0.043209876543209874,7
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB3,USA.YukonKuskokwimDelta.UB3.35,site,3719.9727112882388,351.6012680040433,781.4452467471564,336.20741339230545,5917.63153205954,392.71134313955025,9.451716324077083,43.02379658610789,6.636292594629885,0.0,0,0.0,0,0.043209876543209874,7
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB4,USA.YukonKuskokwimDelta.UB4.51,site,4974.827860020611,347.1356431929738,1976.5193244636012,382.8358668868426,6900.076618570223,413.78337203783383,6.977842308528352,19.369194226863364,5.9967938750740215,0.0,0,0.0,0,0.34502923976608185,59
ds01,Hung et al. 2022,USA.YukonKuskokwimDelta.UB4,USA.YukonKuskokwimDelta.UB4.53,site,4974.827860020611,347.1356431929738,1976.5193244636012,382.8358668868426,6900.076618570223,413.78337203783383,6.977842308528352,19.369194226863364,5.9967938750740215,0.0,0,0.0,0,0.34502923976608185,59
