"spectral_EVI2b_earlySummer","spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","trees_presence","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
1048.28767846529,1421.51998973456,2754.05774496638,1797.87630884874,845.64654696234,502.911942563062,-2920.82360218706,-2906.62415642333,-2720.88494738639,0,1908.41119800404,8.10564526011808,-2720.88494738639,-2340.60400567097,"nonveg_706","absence",1,0,0,0,0
3274.76790155677,3162.99600439906,3930.31925500112,4054.30020659837,2300.58692542998,3691.88543690291,-5551.83389684772,-5545.30565490883,-6416.24134111601,0,1647.36120902895,32.3097098190321,-5487.2109977363,-5348.73628808612,"Russia.Yamal.VaskinyDachi-1","presence",0,0,1,0,0
286.61204300399,381.698460240099,827.601779549661,103.106292442582,223.27762018443,516.232812864402,-1601.82476428778,-2125.7282119229,-2706.12871695678,0,724.495487107079,1.97920071311125,-1601.82476428778,-1848.33056617217,"nonveg_935","absence",0,0,0,1,0
760.95278722591,101.33080606658,-114.223206126112,873.084494663115,168.561753426237,1039.98835766214,-1611.52942816968,-2280.86364013582,-1418.22119370953,0,987.307700789227,39.4927355866449,-2280.86364013582,-2056.33989907991,"nonveg_736","absence",0,0,0,1,0
2359.81360330538,1988.08070966458,2882.68191915276,3416.17242669707,1529.79289067815,3064.39504722181,-4949.83049401131,-4831.92860119533,-5461.23152250655,0,1316.91056544295,27.0162565120992,-4812.68554615805,-4837.61266460638,"USA.NorthSlope.11","presence",0,0,1,0,0
2831.20740132843,3089.9711224807,2982.56625176712,3348.56344307946,2467.76074295154,4658.31021022763,-5351.46689924774,-5352.8726891041,-6007.44595750203,0,1067.91993127187,28.8627008451857,-4851.89538785156,-4928.78348168447,"Canada.CoutureLake.TD7","presence",0,0,1,0,0
2645.01452477947,1981.5283693085,2725.21320604,2902.90926306808,2033.79544667904,3638.87060369479,-4819.55404330538,-5385.97167013822,-5573.09570502252,0,1357.38104365317,4.61705865293589,-5159.1857173642,-4969.98439068096,"USA.YukonKuskokwimDelta.5","presence",0,0,1,0,0
3421.1443162845,3304.26734080429,4201.71150779166,4696.97299268325,2235.41808744265,4558.59089957733,-6335.85320159661,-6285.33857086416,-6854.78277953848,1,2795.50044967615,34.7335626029639,-6345.59250881498,-6254.10130818839,"Norway.Javrresduottar.A-Hummock","presence",0,1,0,0,0
620.768219351375,702.845058919503,348.625755524168,746.91338364364,178.527370460874,565.49768673191,-1492.58239079547,-1386.89362628602,-1330.15172467173,0,568.386013182766,11.9524553754189,-1492.58239079547,-1622.99677915144,"nonveg_953","absence",1,0,0,0,0
1611.75476395841,1350.30206002664,2092.50580332881,2429.06063997851,1422.48063568571,2972.14579583825,-4961.6262180659,-5103.55976943691,-5336.71183034921,0,1432.7207622764,16.7055626195932,-5283.15066491092,-5002.47169585317,"USA.YukonKuskokwimDelta.1","presence",0,0,1,0,0
583.768383042462,306.56415400363,-122.266107701527,668.345842651054,93.2617485680895,147.43788786693,-67.6748870917722,154.013000434645,-184.10875241919,0,790.611950352582,20.4377764364322,-76.8139749173189,-166.649591274521,"nonveg_1089","absence",0,0,1,0,0
2733.76567503169,2788.85197406629,4227.21010600123,4971.85233880407,1249.63110498782,3491.42282902928,-6552.34473211017,-5698.97714071453,-7751.28249577221,1,3109.25399010067,38.345661423918,-6109.61373958364,-6379.81471821931,"Finland.Kilpisjarvi.17","presence",0,1,0,0,0
