"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_lateSummer","spectral_EVI2b_annualRange","spectral_EVI2b_changeSSES","spectral_NDVI_annualMean","spectral_NDWI_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
541.428612678114,187.523353532256,-2570.25385731301,571.323128228565,21.1601158603172,1362.65376283307,-1697.92581038911,-1843.44766851134,"nonveg_769","absence"
1462.35926742138,1633.64743674378,-5020.5792917901,3059.27853373504,49.1286486705883,5125.08940832234,-5968.87754646842,-5831.42991367446,"Canada.KluaneLake.Ruby-MixedTundra","presence"
3498.13131960491,2322.01720149355,-6665.56835074046,2539.42741540749,29.1279260031997,6466.92182498003,-5437.53893926463,-5651.64640928232,"Sweden.Abisko.NT-MesicHeath","presence"
626.382187924876,410.763157208588,-1898.1320937695,1225.70794738602,17.6509293113052,1637.24262609192,-1898.1320937695,-1966.44254809571,"nonveg_576","absence"
288.346958647712,289.384888134638,-1444.84928180895,325.705343644797,-8.75237413085988,922.573255452947,-1444.84928180895,-1243.15323899551,"nonveg_794","absence"
2613.89243244106,1672.60777515759,-5888.07994814118,2608.4855508492,37.7749976777704,4916.13028896325,-5312.78216748162,-5399.09974644589,"USA.SewardPeninsula.18","presence"
2749.07611205794,2075.78647241055,-5376.04554555207,1837.56053292642,63.3641563078077,5010.35359349579,-5455.87990237542,-5157.83669182522,"Russia.Yamal.Kharasavey-1","presence"
2425.09558526822,1768.79363731803,-6230.87282537187,2654.71807102219,57.1980393944802,5809.81764731769,-5226.60639404186,-5069.52375702096,"Russia.Kolyma.T2","presence"
2718.5310029606,2598.21924473677,-6527.22301646102,819.812714616839,15.5718133424768,6063.19946838376,-5766.8324803087,-5860.37384541391,"Sweden.Abisko.NT-BirchShrub","presence"
117.66869625428,443.959626825665,-755.556450997787,380.488486188873,3.01097531208269,701.407034550781,-881.618127475416,-800.580255646809,"nonveg_931","absence"
516.197310728151,75.4862196132798,192.24511530598,1124.27991991349,-20.9109705665162,-419.218283971497,192.24511530598,290.018958272738,"nonveg_1642","absence"
3403.95792971587,2424.25292642801,-6040.92189858137,1701.42912936629,38.7588784029182,5327.95055791431,-5387.50104070627,-5909.16979290534,"Sweden.Abisko.NT-DryHeath","presence"
2721.50131690236,1254.82338503949,-6215.7662098905,2046.53261719298,23.2530404223344,5388.07572012514,-6033.43413031162,-5900.55688661018,"Finland.Javrresduottar.EC-Sphagnum","presence"
2316.29235539397,1447.91401785605,-6098.65525855013,2632.86216589118,37.5758349928062,4440.72638545535,-5083.65915285475,-4849.79462618326,"Canada.DaringLake.Tower1-SedgeHollow","presence"
733.536222418089,547.629972913369,-2239.94222576946,375.728245327067,-7.90924982593112,1641.37862371047,-2239.94222576946,-2088.88239617005,"nonveg_913","absence"
2247.94691899763,2031.41120670689,-6294.22403911162,1783.23313731586,28.6450339420453,5036.67407355871,-5793.62787849936,-5631.16517056754,"USA.InteriorAlaska.LOWERQUARRY","presence"
1626.86136714397,1109.58762723175,-4434.9136545277,1066.85164810835,13.8557590161424,2881.19465212204,-3949.30701034723,-3800.22735618863,"Canada.BanksIsland.GreenCabin-C00","presence"
