"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_lateSummer","spectral_NDWI_peakSummer","spectral_NDWI_startSnowfree","trees_presence","site_code","presence_absence"
821.468924203536,372.525599223597,529.82590718199,1709.93951413966,-1801.43173789772,-2636.5182418492,-1251.96881139187,0,"nonveg_1968","absence"
814.090783803453,1054.60635710363,563.258159662688,2058.69632458967,-2467.05148529935,-2448.89082610837,-947.444311040146,0,"Canada.EllefRingnesIsland.Isachsen-C02","absence"
770.470607465064,1724.89239407063,1257.44812993935,2685.89168483295,-3385.24253219153,-3281.89399937816,-2064.9233989595,0,"nonveg_632","absence"
2025.990938899,2999.27921488498,1223.68607567656,5394.99266874679,-5225.94103217318,-5978.38021617243,-2386.8811820806,0,"Canada.DeceptionBay.TH6","presence"
1674.0720754131,1513.98202401156,990.227619379819,2462.06952636591,-3391.63517140376,-3311.63159148194,-1414.0798525037,0,"Canada.PrincePatrickIsland.MouldBay-C04","presence"
1792.06580735544,3208.96752247562,1640.62654892818,5023.95869463586,-5189.73970696434,-5504.2308446008,-3687.36102590969,0,"USA.NorthSlope.Sagwon-C16","presence"
1908.27421202922,3624.71472496762,1718.90807640205,5415.97551665945,-5797.45115884402,-6291.15782107572,-4441.52006170324,0,"USA.Toolik.S2","presence"
1486.3272885543,2568.34754119342,1531.63476942988,3850.75543501525,-4308.24391189386,-4827.81994375171,-3791.75513903683,0,"Canada.Yukon.WHEATEAR","presence"
751.477067197805,267.401394783946,1193.50977659465,1417.82570664498,-2117.60116498643,-2731.11477393171,-1018.45111451681,0,"nonveg_899","absence"
873.220704152865,574.684109659989,175.581765172879,953.980353810244,-1955.17435349839,-2071.77492152874,-1925.41929838159,0,"nonveg_866","absence"
268.958062065688,560.72488208776,659.057855926467,507.566962234223,-1422.622740305,-942.977561839543,-97.587822522901,0,"nonveg_994","absence"
2457.46270749637,4130.26219044205,1771.359706279,5449.9089693386,-6324.03618587809,-6369.11233680014,-4360.5719347312,0,"Russia.Kolyma.WT1","presence"
1099.07197610377,529.504519756441,-499.211938080918,1710.35360365005,-847.976422041594,-1598.44354087381,217.221598830897,0,"nonveg_903","absence"
1658.35540633011,1560.34747698582,1784.30287179969,3621.1906128896,-3558.8749628357,-4039.86256744298,-2961.63667002522,0,"nonveg_1069","absence"
