"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","topo_slope","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_annualRange","spectral_NDWI_annualMedian","spectral_NIR_changePSLS","spectral_NIR_changeLSES","site_code","presence_absence"
2626.82062047509,3169.4673288387,3274.94185903818,2148.11566930334,-5018.3588914112,-5732.7266344392,-5454.1606448514,-4498.58949418814,3.15733284950256,0,2810.73691828281,976.732499315423,-6161.26483296234,-5.57108866736394,-22.1842345474112,"Finland.Kevo.8","presence"
284.763194953187,-159.461914399438,-571.675202178782,-287.350850517262,350.4852070439,549.860540954213,-167.926576884154,59.927819401091,22.0057144165039,0,-159.461914399438,856.438397131969,59.927819401091,14.4804920913629,10.9032520237762,"nonveg_536","absence"
944.311929069771,199.960944906951,858.205980465726,-78.9615791413039,-974.893579543574,-2386.9421109368,-3347.54263834731,-2348.23201094985,0.593476355075836,0,858.205980465726,2134.38277111729,-2386.9421109368,-24.5203080725071,30.7783273126943,"nonveg_600","absence"
-31.4062312201248,1102.03156122144,474.873055366364,1187.19422203458,-1865.70118134831,-2973.74478767203,-1884.05051492509,-1032.00037713451,2.92023682594299,0,937.505078329242,1218.6004532547,-1884.05051492509,37.4701343182246,-69.0617927784073,"nonveg_628","absence"
2713.67568290526,3947.09694196201,4195.67181754542,3098.54223683297,-5924.45240498983,-5615.83634470644,-5375.17835604268,-4562.93737637244,1.48435473442077,0,3463.84647638792,1526.3337981934,-5287.54441227333,-23.6459388736259,-7.76440531363217,"USA.BrooksRange.6","presence"
2258.21057560938,2669.80163394712,2370.7053519803,1057.37738766498,-4844.11294610113,-4437.39310834373,-5278.3164093223,-4093.77915860069,0.646398842334747,0,2193.56799581799,1257.73624186721,-5089.67785117584,23.2421903121329,-21.2675004562139,"USA.NorthSlope.15","presence"
789.923407763847,92.7268581264708,508.931282453996,-42.3657680152328,-929.928861737696,-38.5798235436703,-2093.06400295616,-916.577004848488,44.8595352172852,0,508.931282453996,832.28917577908,-929.928861737696,-11.9046133304332,9.15037114323745,"nonveg_547","absence"
1634.05715869487,2034.27074835831,2299.45026570175,1141.62319048146,-4020.4869935551,-4414.23519897033,-4752.0595686758,-3428.97596504063,2.57179757526943,0,1886.47742417312,2012.77405777599,-4117.699718487,-53.5580542580149,2.75227415670971,"Canada.BanksIsland.GreenCabin-C09","presence"
2943.12516910546,3363.4252869221,3538.65141858127,2014.211279853,-5983.77480848505,-6597.81201549728,-6642.22487377506,-5353.69232798686,2.9516574382782,0,2869.01881127789,1354.81363963416,-6471.28404983646,-20.479634120816,-4.9188573359238,"Finland.Kevo.5","presence"
235.268062488481,205.112060910158,24.8006200873777,180.996252291511,-1672.43715841525,-2085.74611922613,-2121.10517459299,-1954.39614093304,1.52118134498596,0,205.112060910158,592.983995549098,-2085.74611922613,1.53148407932097,-5.28926807452668,"nonveg_1261","absence"
