"spectral_EVI2b_endSnowfree","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_EVI2b_annualMedian","spectral_NDWI_annualMean","site_code","presence_absence"
5.23683825292227,-811.766610175095,-636.532451368312,-3913.84413899559,9771.51679136372,10000,-636.532451368312,9951.19579504024,"nonveg_1236","absence"
938.951745458281,495.705813133986,233.729357957529,691.544663804745,-2637.37501267531,-1441.20031242404,495.705813133986,-2150.75756953407,"nonveg_606","absence"
1902.55734778134,1995.8648634395,1518.24194723815,3617.60646530065,-3777.37942545902,-4226.33977733435,1921.61049271342,-3976.50547247303,"Russia.Tiksi.LichenTundra","presence"
579.355005767307,751.794883963114,589.107842658131,2196.70467446101,-2136.88107818939,-2763.48357873742,589.107842658131,-2831.6889152396,"nonveg_832","absence"
2653.10045451154,3380.18854368395,1846.50304046074,4837.29390168778,-5225.77185614616,-4997.64375708532,2708.47422232928,-5287.6997676296,"Russia.Yamal.Nadym-2-H","presence"
946.081808223593,1034.78751286092,573.650954133091,1393.47496266473,-2482.73994347171,-2444.61461014907,432.739768035461,-2002.84330598071,"Canada.Ivujivik.RTP12","presence"
2420.03341885592,2933.39928248356,2006.60677216961,5483.93796592553,-4796.1576371176,-5438.04306614321,2353.11273053591,-5722.4770601741,"USA.NorthSlope.12","presence"
2545.13109597278,3022.01880742389,1858.71054001695,5771.49399122797,-5461.38229191303,-6036.62330906184,2825.93346938038,-5530.83493053521,"Norway.Javrresduottar.EC-Betula","presence"
3373.37036996942,4291.66418367194,2859.78094560091,6469.42991124595,-6323.90156713684,-6209.83432888795,3707.31378605323,-6211.77097433746,"Canada.BonifaceRiver.AB2","presence"
1091.04974825357,238.038806158331,241.075448549112,1426.4000629241,-1789.26091607575,-1626.49861229963,241.075448549112,-2174.50233757913,"nonveg_954","absence"
-389.79200197458,-211.503407946026,275.085386267499,-98.9165707604775,-1751.43678531803,-1539.63536999714,-247.018550079565,-1455.86111843899,"nonveg_616","absence"
2472.94462449888,3421.73263714056,1860.65819573762,4771.47430887894,-5294.41140533145,-5576.47642107625,2727.21597354457,-5087.33711060524,"Russia.Yamal.Nadym-2-IH","presence"
860.941823558851,745.584401169586,778.466185574619,1182.56448362773,-1116.38468099982,-1225.63695210542,778.466185574619,-1187.17695283926,"nonveg_916","absence"
482.161778388501,529.664213552801,568.805416311325,270.881414361259,-2437.28381797342,-1368.56483996314,482.161778388501,-1591.52951535392,"nonveg_792","absence"
2534.04286901754,3031.55883351015,1750.72599151849,5089.08504615211,-5712.45825466663,-5424.31110315224,1867.75085265927,-5499.64650647349,"Canada.LeRoyLake.TDA3","presence"
518.762830213375,1179.34555680089,12.3147333155755,1510.79642442491,-2235.30404194705,-2146.41555139698,485.285343012522,-2249.87161401103,"nonveg_745","absence"
2719.47312591549,3983.25654266227,2491.26381230549,6490.76148304441,-5517.10240840803,-6154.87150542213,3975.74502442436,-5778.62417414251,"USA.BrooksRange.7","presence"
2784.49190402925,3681.7496452681,2002.39703946082,5305.31687039213,-5078.29111580939,-5789.09408629897,2199.68970618731,-4986.74097001998,"Canada.PayneLake.TDA2","presence"
2148.26231316826,3601.14552440469,1941.53257405427,6017.62081917864,-6285.81884951293,-5757.35799609552,2749.16687557371,-6255.80267245789,"USA.InteriorAlaska.5","presence"
2593.25006428913,3476.87327139427,1221.60783261037,4417.16707893378,-4574.5005515937,-4970.99516839342,2656.70671635259,-5133.03762570702,"Canada.DeceptionBay.TH8","presence"
1112.41463264218,1838.61228905698,-333.5642033077,2245.06850113866,-2528.91950010658,-2864.06788681706,1112.41463264218,-2630.22123812333,"nonveg_671","absence"
-1154.43474943322,-75.7997465186522,-709.592758486181,-4068.32770232166,4491.98930294407,3954.17695953443,-709.592758486181,4889.08015039787,"nonveg_1810","absence"
611.34641092025,870.827533751025,4.53114395442196,423.786586389815,-2854.14878894106,-2263.81722554506,505.668520970431,-2401.0490147834,"nonveg_899","absence"
