"spectral_EVI2b_endSnowfree","spectral_EVI2b_startSnowfree","spectral_NDWI_endSnowfree","spectral_NDWI_peakSummer","spectral_red_peakSummer","trees_presence","spectral_EVI2b_changeLSES","spectral_NDWI_annualMedian","site_code","presence_absence"
2231.42402170594,1111.08768908579,-4273.02539601144,-5396.02904778306,820.655976640345,0,68.5819778727975,-4370.45942180067,"USA.NorthSlope.15","absence"
3048.88752220405,2387.67006192206,-5943.0310490222,-6824.08590959513,508.743983909673,1,-26.5034568471538,-6525.43099803324,"Norway.Javrresduottar.A-Sedge","absence"
1854.22344319888,1250.76511987076,-4724.83836039224,-4784.25415851715,773.105589731905,0,-8.96242738126799,-4444.94242256647,"Russia.Yamal.OstrovBelyy-2","presence"
2968.9619499993,1621.30863225304,-5754.29078759724,-6514.34209891138,435.485151826625,0,88.7926630802789,-6222.70852229192,"Sweden.Abisko.KJ-BirchShrub","presence"
4527.40788232728,2670.3975731898,-6787.61720851444,-7331.11297298727,371.551391890988,1,27.1098687120408,-6825.98278789429,"Finland.Kevo.11","presence"
50.4243465252907,-803.254730217967,7367.02109027816,9041.0322954935,200.704182484589,0,8.66150216833235,7576.92360223414,"nonveg_1994","absence"
2808.90169947179,2066.89190591543,-4604.30631189889,-6288.23334964382,622.19318837546,0,-31.050109325262,-5459.76838919263,"USA.NorthSlope.12","presence"
1193.47324237311,-630.304334642619,-721.640924509498,-1614.79735959835,768.360550812835,0,2.21850897731674,-1281.88496672767,"nonveg_608","absence"
225.833866657485,2.92704119849372,-1635.13777934808,-1536.47342751291,955.589811830032,0,240.627201328706,-1635.13777934808,"nonveg_785","absence"
2547.69778899515,2093.05184422195,-5463.7517507438,-6631.76154035807,373.879894877894,1,-0.672530229795636,-5553.61341054432,"Russia.Yamal.Nadym-1","presence"
-152.313506200967,25.6507504264464,-329.17072703123,-321.830317365026,321.353722830285,0,-40.3583011558217,78.1333176597832,"nonveg_1547","absence"
1036.47327120468,216.728683908582,-1607.54248866184,-1586.67513033177,1911.56050078168,0,128.828176677353,-1607.54248866184,"nonveg_543","absence"
859.718542406232,731.637398628872,-1518.19140668702,-1923.25344191994,2185.76189275884,0,-144.552878505921,-1732.99954280155,"nonveg_801","absence"
2346.55964719933,1378.26950177383,-5557.28313246973,-6170.62594860412,471.264276316066,0,-45.8714267230242,-5609.63702579392,"Finland.Javrresduottar.EC-Betula","presence"
3266.57961608521,2464.00755493531,-5835.12352228649,-6276.90239416563,811.817268059714,0,-5.74917484548555,-5789.1211590636,"USA.YukonKuskokwimDelta.3","presence"
