"spectral_EVI2b_endSnowfree","spectral_EVI2b_lateSummer","spectral_EVI2b_peakSummer","spectral_EVI2b_startSnowfree","spectral_NDVI_earlySummer","spectral_NDWI_earlySummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","spectral_NDWI_startSnowfree","trees_presence","spectral_EVI2b_annualMedian","spectral_EVI2b_changeLSES","spectral_NBR_changeESPS","spectral_NDWI_annualMean","site_code","presence_absence","zone_3_High.Arctic","zone_3_Sub.Arctic","zone_3_Low.Arctic","zone_3_Oro.Arctic","zone_3_other"
2711.72488817599,3873.47217539231,4372.65854802256,2364.34518530913,6293.81418537951,-5427.01276382076,-6243.34726363849,-6369.42394460372,-4416.39796938214,0,3765.88324938582,-67.5913596709881,1.53995122243944,-5920.42305623815,"Russia.Yamal.Laborovaya-1","presence",0,0,1,0,0
2423.1395757558,2803.49031295591,3063.04821386408,882.770051470319,3618.37159592023,-4874.15323681515,-4217.97492796867,-4967.99193923086,-2886.89346935136,0,2014.6135729989,-1.42702571482138,23.4136956710404,-4295.027322931,"USA.Kougaork.LowShrub","presence",0,0,1,0,0
4016.96165009872,5024.53289832789,4695.24777195465,2467.89375311706,7927.8631843001,-6203.82062955096,-7300.82852819893,-6706.26001769055,-5894.32426945623,1,4374.83104007175,15.990482068863,5.2444257377079,-6471.42190881468,"Finland.Kevo.11","presence",0,0,0,1,0
2065.65317972988,2566.31742873645,1890.83191437729,1051.52420383907,3328.62881460508,-3900.49530117078,-4263.09078229388,-4029.62196065666,-2958.1710501284,0,1566.90626093191,-41.0877960044521,32.7601017835517,-3109.56272210929,"Canada.Ivujivik.TP13","presence",0,0,1,0,0
536.701760052631,468.57128455794,374.421840590117,883.491139816674,1806.2767142113,-2907.45063783976,-3189.86253736086,-3290.05618200395,-2192.77598735721,0,536.701760052631,11.3550792491151,-13.9771956842047,-2997.51550773796,"nonveg_985","absence",1,0,0,0,0
2300.15651091179,2519.71849485894,2690.13361568293,1680.8993016632,4939.2480718625,-5158.20999794064,-5587.60713081157,-5671.36353247157,-3820.62631157055,0,2262.26076989845,-11.7033288793398,10.5797310438557,-5757.25613221725,"Finland.Kilpisjarvi.18","presence",0,0,0,1,0
2750.90538821761,3335.60993688968,3765.29679444499,2392.91972415443,5321.60995805607,-5510.80108756614,-5860.35338578027,-6039.18324988013,-4469.96994555707,0,2443.99986379676,-68.0006614282839,57.8034051528937,-5737.0029031789,"Canada.DaringLake.Tower1-Heath","presence",0,0,1,0,0
-376.109145835295,409.307363711928,536.43840534835,6171.84381982814,664.349154801395,-959.164235109175,-3754.99286048217,-2929.88927322762,1288.45270592694,0,409.307363711928,-25.3360164370072,-61.1147012469442,-1645.16585636861,"nonveg_1353","absence",0,0,0,1,0
649.120958444263,468.544611634823,1682.8580893852,198.99913872245,797.617359673986,-1857.76568147418,-1432.49581788874,-1635.22006040881,-1603.91489366502,0,468.544611634823,7.85114551345394,69.8140115440948,-1388.8199719733,"nonveg_714","absence",0,0,0,1,0
512.691903912143,3.1194363064194,714.116473608154,312.910132328291,944.355482678499,-903.360674835758,-607.039099994244,-1675.25206053849,-166.727170638771,0,400.565242370681,28.3095815336513,-13.9111781155319,-945.240231829094,"nonveg_1340","absence",0,0,1,0,0
766.984194675767,1100.87303887001,475.94647421741,1574.05573913651,1548.4980261328,-2233.97722614777,-2359.49261657791,-1905.55799743684,-806.107173188858,0,968.582179937388,-30.3535312903858,-25.8838959989503,-2086.62063062798,"nonveg_863","absence",1,0,0,0,0
1278.19514674916,1335.49823540103,1634.48713023185,-531.715523481588,2499.09419928113,-2303.6889725671,-2687.42926300041,-3372.17582471656,-1350.82421317591,0,1278.19514674916,-4.09307776084838,30.4598224696505,-2602.63619717147,"nonveg_671","absence",0,0,1,0,0
3227.54699587912,3470.77285551349,3651.7372428754,2203.73953300765,4895.96399813239,-5913.86405512498,-5967.34618894808,-6138.96992494074,-4286.91298144259,0,3113.59173275872,4.57015528204506,52.5469225466661,-5692.90204507944,"Sweden.Abisko.NT-DryHeath","presence",0,0,0,1,0
1803.32723270059,3505.51385144446,3290.22427044426,1482.89049603242,4781.24106299634,-5263.39084894042,-6641.7194175041,-4961.66493047079,-5134.85060944338,0,2327.94451428091,-74.8003205280824,42.5094183725568,-5464.5051871343,"Russia.Yamal.Nadym-2-IH","presence",0,1,0,0,0
518.671725811054,676.763328769322,372.728576973216,902.702618428954,1621.79351917862,-973.352873038563,-416.214639553284,-821.00425446091,-707.739580622623,0,676.763328769322,-7.18598195264855,-20.6490574378544,-922.968078467616,"nonveg_757","absence",0,0,0,1,0
-135.28245758805,-165.798660845663,869.565961009124,-347.579288309162,-69.1205762386574,-1254.28521750355,-1182.80948417446,-1233.61791815169,-1313.25067918245,0,-165.798660845663,2.54301693813442,40.3229649235449,-1025.65591568063,"nonveg_1316","absence",0,0,0,1,0
-750.871211307928,201.152653290254,208.431268177613,-1481.64212941955,-4063.84211179414,4495.95349667284,4383.15616546986,4512.42530651488,7401.09483203149,0,-750.871211307928,-59.5014915373864,48.0509283188271,5018.89184539795,"nonveg_1810","absence",0,0,1,0,0
267.336705798624,583.565027035967,678.431428853543,225.605298270543,928.215863404413,-1910.00528956207,-1804.50609541707,-1524.75302126755,-1002.75879457188,0,267.336705798624,-21.0818880824896,22.3206484093521,-1550.5684990869,"nonveg_979","absence",0,0,1,0,0
2443.3966684812,3292.89149053757,4348.53972385474,2035.6429665219,5122.46973079279,-5638.75313044842,-5451.61735427578,-6271.308457679,-4176.399970903,0,3648.92493216723,-65.2860126726546,46.1544210910322,-5829.59654951816,"USA.InteriorAlaska.AMSUMMIT","presence",0,0,0,1,0
597.848749759918,245.804106453751,-65.8255771090701,-790.599573857945,1611.38348985812,-1996.89209176062,-908.692575302207,-999.692694166549,3503.90517130878,0,245.804106453751,117.348214435389,30.7390063383867,-291.356678026286,"nonveg_1888","absence",0,0,1,0,0
2961.47391291537,3566.81580019358,3659.67476645035,966.41097228996,5428.16332128381,-5380.98181983237,-5356.85446578408,-5833.3969034524,-2081.21518465391,1,2632.11060943229,-57.5293704199382,21.6274780823117,-4959.6726031927,"Sweden.Abisko.KJ-MesicHeath","presence",0,0,0,1,0
222.946245015272,330.732448621575,99.9672918651848,-119.537328735177,728.976415906819,-157.046834247761,301.960298652446,-296.970986701466,529.475945551552,0,99.9672918651848,-6.34036491801783,20.4368780654928,-98.1587289665293,"nonveg_1889","absence",0,0,1,0,0
2174.32103676101,2225.39320462813,2513.76627238627,1654.3384388509,4384.01909936916,-3963.94859394236,-4426.43743019491,-5280.0906087825,-3328.20242709849,0,2212.63514162852,-21.5183099580242,24.2677700886556,-4616.56930937057,"Canada.BonifaceRiver.LSA2","presence",0,1,0,0,0
481.472858400038,269.83746454326,322.490043007531,416.303878186314,-305.576067046527,-1606.40577855087,-465.290410505213,-931.861799912727,649.193041063369,0,322.490043007531,30.2336276938255,39.2261443203196,-666.869767886327,"nonveg_582","absence",1,0,0,0,0
