"spectral_EVI2b_endSnowfree","spectral_NDVI_lateSummer","spectral_NDWI_endSnowfree","spectral_NDWI_lateSummer","topo_slope","trees_presence","spectral_EVI2b_annualRange","spectral_NDWI_annualMean","site_code","presence_absence"
844.331032612373,2088.61379868756,-2416.98976866446,-2566.22377573547,1.29504609107971,0,381.575208535083,-2437.01096095863,"nonveg_746","absence"
1002.7835912164,797.723460429838,-1036.03614252856,-1744.37640894715,1.49644756317139,0,485.946222829851,-1215.12503864637,"nonveg_916","absence"
2256.54710662516,4959.16662198952,-5512.51754118165,-5549.20197016776,1.02030289173126,0,674.866326181016,-5514.83805348733,"USA.YukonKuskokwimDelta.UB5","presence"
2700.5326409041,6433.44900644932,-5811.95419724896,-6444.94858790428,5.93789737489488,0,2186.33539649084,-5962.1901311344,"Canada.Yukon.PAGE","presence"
251.372782711733,579.689423677209,-998.864459669961,-869.732207074824,24.4069366455078,0,826.917697460905,-1151.89436671751,"nonveg_710","absence"
1377.82615737842,1807.22544139357,-1265.16911348653,-1909.30739106923,0.411850243806839,0,806.19019600432,-1929.99000766595,"nonveg_863","absence"
-92.4206477947795,3631.89551855363,-3433.85886484491,-3303.53557592848,36.3343353271484,0,6646.54954214077,-1502.4208643544,"nonveg_1353","absence"
1930.7708249944,4617.7603461372,-4918.63813514514,-5627.83253995859,1.40715373754501,0,2009.43278518784,-4940.70718381762,"USA.NorthSlope.Sagwon-C15","presence"
521.20613308626,823.808403794145,-736.791235681615,-794.100972377125,10.1515512466431,0,633.164467375928,-628.069225301962,"nonveg_1234","absence"
1697.86315270593,4618.83922350645,-4403.84817657208,-4988.49460030862,0.524370578202334,0,1483.59998192777,-4358.18372056315,"USA.NorthSlope.FranklinBluffs-C15","presence"
812.384011572106,2188.52400035012,-1745.57765019444,-1589.11486889897,0.87968510389328,0,367.870158583741,-1815.5095411895,"nonveg_745","absence"
267.287551146638,1118.03039004853,-1146.28894526278,-757.694968356405,0.0403236523270607,0,1362.80510534355,-827.774662891432,"nonveg_1834","absence"
