dataset_id,citation_short,site_code,bioclim_zone,mat_degC,gdd_degC,map_mm,latitude,longitude
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11209,Oroarctic,-2.54999999999995,906.4,773.2,69.071507,20.812814
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11209,Oroarctic,-1.74999999999994,1045.8,726,69.071466,20.812847
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11210,Oroarctic,-2.54999999999995,906.4,773.2,69.072355,20.813928
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11211,Oroarctic,-2.54999999999995,906.4,773.2,69.0740145,20.813867
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11212,Oroarctic,-2.54999999999995,906.4,773.2,69.075527,20.813935
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11213,Oroarctic,-2.54999999999995,906.4,773.2,69.076053,20.815979
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11214,Oroarctic,-2.54999999999995,906.4,773.2,69.075366,20.818221
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11215,Oroarctic,-2.54999999999995,906.4,773.2,69.074213,20.8181375
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11216,Oroarctic,-2.54999999999995,906.4,773.2,69.072925,20.8181115
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11217,Oroarctic,-2.14999999999998,989.9,740.7,69.059643,20.811271
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11218,Oroarctic,-2.14999999999998,989.9,740.7,69.0571585,20.8128375
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11219,Oroarctic,-2.14999999999998,989.9,740.7,69.0546935,20.817256
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11220,Oroarctic,-2.24999999999994,967.2,788.5,69.062747,20.826351
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11221,Oroarctic,-2.24999999999994,967.2,788.5,69.061602,20.8241275
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11222,Oroarctic,-2.14999999999998,989.9,740.7,69.0548395,20.824367
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11223,Oroarctic,-1.24999999999994,1150.6,687.5,69.061178,20.808957
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11224,Oroarctic,-1.74999999999994,1045.8,726,69.0674455,20.8141845
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.11225,Oroarctic,-2.24999999999994,967.2,788.5,69.0683385,20.820739
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1123,Oroarctic,-2.84999999999997,858.2,796.7,69.0541415,20.836392
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1129,Oroarctic,-2.84999999999997,858.2,796.7,69.056793,20.8355555
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1135,Oroarctic,-2.24999999999994,967.2,788.5,69.059471,20.834835
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1141,Oroarctic,-2.24999999999994,967.2,788.5,69.062164,20.834119
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1147,Oroarctic,-2.24999999999994,967.2,788.5,69.064834,20.833354
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.115,Oroarctic,-1.74999999999994,1045.8,726,69.0672395,20.7998605
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1159,Oroarctic,-2.64999999999998,894.9,837.6,69.070163,20.8317245
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.117,Oroarctic,-2.14999999999998,989.9,740.7,69.05503,20.813076
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1171,Oroarctic,-2.84999999999997,858.2,796.7,69.057756,20.83669
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1183,Oroarctic,-2.24999999999994,967.2,788.5,69.063131,20.835209
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1189,Oroarctic,-2.24999999999994,967.2,788.5,69.065788,20.834342
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.1195,Oroarctic,-2.24999999999994,967.2,788.5,69.068476,20.833681
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.124,Oroarctic,-2.14999999999998,989.9,740.7,69.0548925,20.81280625
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.13,Oroarctic,-1.24999999999994,1150.6,687.5,69.057349,20.800181
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.132,Oroarctic,-2.14999999999998,989.9,740.7,69.0547226666667,20.8126563333333
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.133,Oroarctic,-1.24999999999994,1150.6,687.5,69.057485,20.803975
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.133,Oroarctic,-2.14999999999998,989.9,740.7,69.054762,20.8132525
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.138,Oroarctic,-2.14999999999998,989.9,740.7,69.054572,20.81122825
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.139,Oroarctic,-1.24999999999994,1150.6,687.5,69.06016,20.803265
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.139,Oroarctic,-2.14999999999998,989.9,740.7,69.0545981666667,20.8115091666667
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.149,Oroarctic,-2.14999999999998,989.9,740.7,69.0544881666667,20.8118353333333
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.151,Oroarctic,-1.74999999999994,1045.8,726,69.06548,20.801626
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.159,Oroarctic,-2.14999999999998,989.9,740.7,69.05443675,20.81294675
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.168,Oroarctic,-2.14999999999998,989.9,740.7,69.054311,20.8127785
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.169,Oroarctic,-1.24999999999994,1150.6,687.5,69.055737,20.805749
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.171,Oroarctic,-2.14999999999998,989.9,740.7,69.054375,20.814492
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.177,Oroarctic,-2.14999999999998,989.9,740.7,69.0541675,20.813059
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.178,Oroarctic,-2.14999999999998,989.9,740.7,69.0542695,20.813671
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.180,Oroarctic,-2.14999999999998,989.9,740.7,69.05430725,20.81496
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.181,Oroarctic,-1.24999999999994,1150.6,687.5,69.061085,20.8041975
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.187,Oroarctic,-1.74999999999994,1045.8,726,69.063795,20.8033845
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.188,Oroarctic,-2.14999999999998,989.9,740.7,69.0541045,20.81405
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.189,Oroarctic,-2.14999999999998,989.9,740.7,69.054144,20.8145175
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.19,Oroarctic,-1.24999999999994,1150.6,687.5,69.060005,20.7993695
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.193,Oroarctic,-1.74999999999994,1045.8,726,69.066389,20.8026355
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.199,Oroarctic,-1.74999999999994,1045.8,726,69.0691445,20.801878
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.206,Oroarctic,-2.14999999999998,989.9,740.7,69.0540483333334,20.812234
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.211,Oroarctic,-1.24999999999994,1150.6,687.5,69.056658,20.806747
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.217,Oroarctic,-1.24999999999994,1150.6,687.5,69.059361,20.805931
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.217,Oroarctic,-2.14999999999998,989.9,740.7,69.0539165,20.8163405
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.229,Oroarctic,-1.74999999999994,1045.8,726,69.06476,20.804367
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.235,Oroarctic,-1.74999999999994,1045.8,726,69.067352,20.80365
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.241,Oroarctic,-1.34999999999997,1142.6,689.2,69.052294,20.809143
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.247,Oroarctic,-2.14999999999998,989.9,740.7,69.0549295,20.808527
ds04,Happonen et al. 2022,Finland.Kilpisjarvi.25,Oroarctic,-1.24999999999994,1150.6,687.5,69.062705,20.798675
